Sl No,city,country,name,address,date,state_code,price,bed,bath,area,pet,deposit,ac,parking,dishwasher,fireplace,storage,hardwood_floor
81,orlando,US,"Flat For Rent In Orlando, Florida","Library Garage, Central Boulevard, Orlando, FL 32801, USA",01/14/24,FL,112212,2,2,960,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
82,orlando,US,"Suite · The Point Lux Suite, Close To Universal","Orlando, FL",04/30/23,FL,344117,2,2,,,,Available,Available,Available,Available,Available,Available
83,orlando,US,"$6700 - 3 Brm Townhome -Walkable Downtown WP / Chain Of Lake Access, Private Community Park.","1250 S Pennsylvania Ave, Unit #8",10/19/23,,556904,3,2.5,1957,Allowed,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
84,orlando,US,"Flat For Rent In Orlando, Florida","2038 Shaw Lane, Orlando, FL 32814, USA",01/14/24,FL,112212,Studio,1,590,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
85,orlando,US,"Flat For Rent In Orlando, Florida","6468 Time Square Avenue, MetroWest, Orlando, FL 32835, USA",01/14/24,FL,112212,1,1,945,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
86,orlando,US,"Flat For Rent In Orlando, Florida","9098 Lower Carrel Circle, Orlando, FL 32827, USA",01/14/24,FL,112212,1,1,860,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
87,orlando,US,"Flat For Rent In Winter Park, Florida","Mead Botanical Garden, 1300 Denning Drive, Winter Park, FL 32789, USA",02/15/24,FL,174552,2,2,908,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
88,orlando,US,King Studio W/ Free Breakfast & Free Theme Park Shuttle Transfers | Staybridge,"Orlando, FL",04/24/23,FL,488746,Studio,1,,,,Available,Available,Available,Available,Available,Available
89,orlando,US,Hidden Gem Downtown Private Efficiency Lake Eola,"Orlando, FL",07-04-2023,FL,174552,1,1,150,,,Available,Available,Available,Available,Available,Available
90,orlando,US,Boho Oasis/1 Mile Disney Springs,"Orlando, FL",01/30/24,FL,246866,1,1,547,,,Available,Available,Available,Available,Available,Available
91,orlando,US,"Walk To Park Ave, Heated Pool, Hot Tub, Grill Station, Modern And Comfortable!!!","Winter Park, FL",04/24/23,FL,311700,2,1,952,Allowed,,Available,Available,Available,Available,Available,Available
92,orlando,US,"Studio Near The Parks, Airport, UCF, Valencia!","Orlando, FL",10/30/23,FL,196994,Studio,1,,,,Available,Available,Available,Available,Available,Available
93,orlando,US,"New Listing! Vista Cay Resort, 7mi To Disney & 3mi To Universal - IT212","Orlando, FL",04/25/23,FL,593477,2,2,1823,,,Available,Available,Available,Available,Available,Available
94,orlando,US,Modern3 Bedroom Lake Eola,"Orlando, FL",07-12-2023,FL,548592,3,2,,,,Available,Available,Available,Available,Available,Available
95,orlando,US,"Flat For Rent In Orlando, Florida","unnamed road, Orlando, FL 32812, USA",01/14/24,FL,112212,2,2,1101,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
96,orlando,US,Immaculate Studio Apartment In Downtown Orlando'S Sought After Historic District,"Orlando, FL",04/22/23,FL,274296,Studio,1,422,,,Available,Available,Available,Available,Available,Available
97,orlando,US,Comfy Condo 5min To Conv Center With Balcony 4Br 2Bath 2020ft,"Vista Cay at Harbor Square, Lake Cay Place, Orange County, FL 32819, USA",04/27/22,FL,482761,4,,,Allowed,,Available,Available,Available,Available,Available,Available
98,orlando,US,"Flat For Rent In Orlando, Florida","The Waverly, Pine Street, Orlando, FL 32801, USA",01/14/24,FL,112212,3,2,1620,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
99,orlando,US,Modern Apartment In Prime Location (ID4577X8),"Orlando, FL",05/31/23,FL,304219,1,1,904,,,Available,Available,Available,Available,Available,Available
100,orlando,US,"Flat For Rent In Orlando, Florida","1281 Corbett Lane, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,550,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
101,orlando,US,"Flat For Rent In Orlando, Florida","2591 Marzel Avenue, Conway, FL 32806, USA",01/14/24,FL,112212,1,1,600,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
102,orlando,US,"Property For Rent In Orlando, Florida","5329 Maui Lane, Conway, FL 32812, USA",02-11-2024,FL,149200,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
103,orlando,US,"Flat For Rent In Orlando, Florida","4316 Blonigen Avenue, Conway, FL 32812, USA",01/14/24,FL,112212,3,2,217,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
104,orlando,US,"CLOSE TO UNIVERSAL And International Drive, 2 Bedroom King Suite With Parking","Orlando, FL",08-09-2023,FL,481265,2,2,585,,,Available,Available,Available,Available,Available,Available
